"PLAYER_FULL_NAME","OWN_TEAM","Position","Age","Height","Weight","Salary","Team","injury_status","injury_date","clean_note","return_date","injury_scrape_date"
"Michael Kidd-Gilchrist","Charlotte","SF",25,"6' 7""",232,1.3e+07,"Charlotte Hornets",NA,NA,NA,NA,NA
"Michael Porter Jr.","Denver","PF",20,"6' 10""",210,2894160,"Denver Nuggets","Out",NA,"Feb 22",2019-02-22,2019-02-09
"Mikal Bridges","Phoenix","SF",22,"6' 7""",210,3552960,"Phoenix Suns",NA,NA,NA,NA,NA
"Mike Conley","Memphis","PG",31,"6' 1""",175,30521115,"Memphis Grizzlies",NA,NA,NA,NA,NA
"Mike Muscala","LA Lakers","PF",27,"6' 11""",240,5e+06,"Los Angeles Lakers","Day-To-Day","Feb 7",NA,2019-02-10,2019-02-09
"Mike Scott","Philadelphia","PF",30,"6' 8""",237,4320500,"Philadelphia 76ers","Day-To-Day","Feb 6",NA,2019-02-10,2019-02-09
"Miles Bridges","Charlotte","SF",20,"6' 7""",225,3206640,"Charlotte Hornets",NA,NA,NA,NA,NA
"Miles Plumlee","Atlanta","C",30,"6' 11""",249,12500000,"Atlanta Hawks","Out","Feb 8","Feb 10",2019-02-10,2019-02-09
"Mitchell Robinson","New York","C",20,"7' 1""",240,1485440,"New York Knicks",NA,NA,NA,NA,NA
"Mo Bamba","Orlando","C",20,"7' 0""",221,4865040,"Orlando Magic","Out","Feb 7","Mar 20",2019-03-20,2019-02-09
"Monte Morris","Denver","PG",23,"6' 3""",175,1349383,"Denver Nuggets",NA,NA,NA,NA,NA
"Montrezl Harrell","LA Clippers","PF",25,"6' 8""",240,6e+06,"Los Angeles Clippers",NA,NA,NA,NA,NA
"Moritz Wagner","LA Lakers","C",21,"6' 11""",245,1762080,"Los Angeles Lakers",NA,NA,NA,NA,NA
"Myles Turner","Indiana","C",22,"6' 11""",250,3410284,"Indiana Pacers","Day-To-Day","Feb 5",NA,2019-02-10,2019-02-09
"Naz Mitrou-Long","Utah","SG",25,"6' 4""",218,NA,"Utah Jazz",NA,NA,NA,NA,NA
